Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Snow Fall,-4,Aspen/Pitkin County Airport (Sardy Field),Hartsfield - Jackson Atlanta International Airport,726,255,Mesa Airlines
Rainy,25,Bishop International Airport,Knox County Regional Airport,962,286,Republic Airways
Snow Fall,0,Orlando International Airport,Saipan International Airport (Francisco C. Ada),913,277,Delta Air Lines
Snow Fall,-4,Pullman - Moscow Regional Airport,Frederick Douglass/Greater Rochester International Airport,864,356,Sun Country Airlines
Cloudy,35,Gustavus Airport,Gen. Edward Lawrence Logan International Airport,924,327,GoJet Airlines
Snow Fall,1,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Akron-Canton Regional Airport,540,246,American Airlines
Snow Fall,-5,Gulfport - Biloxi International Airport,McAllen Miller International Airport,715,281,Eastern Airlines
Cloudy,30,Ogden-Hinckley Airport,City of Colorado Springs Municipal Airport,566,326,Piedmont Airlines
Cloudy,35,MBS International Airport,Erie International Airport (Tom Ridge Field),406,179,Alaska Airlines
Cloudy,32,Montgomery Regional Airport (Dannelly Field),Charlottesville - Albemarle Airport,681,395,Alaska Airlines
Cloudy,33,San Francisco International Airport,Chicago Midway International Airport,304,127,GoJet Airlines
Rainy,30,Erie International Airport (Tom Ridge Field),Lincoln Airport (was Lincoln Municipal),917,354,Elite Airways
Snow Fall,-2,Lewiston - Nez Perce County Airport,Lake Charles Regional Airport,848,394,Allegiant Air
Rainy,28,Prescott Municipal Airport (Ernest A. Love Field),Yakutat Airport (also see Yakutat Seaplane Base),503,260,Silver Airways
Windy,24,Joplin Regional Airport,Cyril E. King Airport,590,205,Contour Airlines
Snow Fall,2,Sitka Rocky Gutierrez Airport,Antonio Rivera Rodríguez Airport,829,226,Alaska Airlines
Windy,25,Bellingham International Airport,Duluth International Airport,792,338,Endeavor Air
Rainy,26,Elmira/Corning Regional Airport,Molokai Airport (Hoolehua Airport),821,362,Elite Airways
